"","INSEE_COM","Annee","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"63367","37122",2021,172100.88,2262.97,75.01
"63368","37122",2022,173761.49,2494.37,70.37
"63369","37122",2023,172485.4,2384.16,72.49
"64022","37261",2019,167256.19,2522.79,66.06
"64023","37261",2020,184049.72,2753.06,67.3
"64024","37261",2021,201010.85,2985.02,67.02
"64025","37261",2022,212831.07,3240.32,66.77
"64026","37261",2023,203256.92,3166.7,64.74
"64348","38053",2019,158562.25,2136.5,74.63
"64349","38053",2020,174761.98,2349.76,76.04
"64350","38053",2021,184475.85,2464.68,75.09
"64351","38053",2022,197969.95,2631.61,76.04
"64352","38053",2023,200228.79,2785.56,73.82
"64770","38151",2019,141080.1,1904.38,75.28
"64771","38151",2020,144701.82,2022.86,71.71
"64772","38151",2021,149622.55,2037.94,74.3
"64773","38151",2022,157156.28,2161.36,72.92
"64774","38151",2023,157742.71,2182.24,72.34
"64845","38169",2019,139899.52,2023.55,67.84
"64846","38169",2020,138532.08,1966.12,68.66
"64847","38169",2021,150325.01,2159.02,68.66
"64848","38169",2022,144350.9,2146.07,66.99
"64849","38169",2023,157518.95,2324.55,67.16
"64920","38185",2019,148286.21,2417.27,63.2
"64921","38185",2020,156882.42,2506.22,64.08
"64922","38185",2021,159955.35,2649.43,62.67
"64923","38185",2022,166752.75,2718.12,63.85
"64924","38185",2023,170733.36,2779.89,62.88
"65965","38421",2019,148979.53,2239.26,66.53
"65966","38421",2020,148294.97,2263.22,65.62
"65967","38421",2021,157527.19,2304.14,68.36
"65968","38421",2022,156835.2,2482.28,63.93
"65969","38421",2023,168666.44,2602.78,65.34
"66501","38544",2019,166432.58,2026.2,80.75
"66502","38544",2020,168051.9,2199.43,77.7
"66503","38544",2021,201299.08,2430.41,81.27
"66504","38544",2022,200802.57,2546.27,77.84
"66505","38544",2023,198710.78,2614.39,75.4
"66589","38563",2019,166983.84,2244.2,73.31
"66590","38563",2020,164012.22,2218.53,72.47
"66591","38563",2021,194917.51,2495.8,75.81
"66592","38563",2022,189068.33,2448.16,75.84
"66593","38563",2023,214263.09,2566.87,80.68
"67327","39198",2019,124054.01,1472.38,85
"67328","39198",2020,130975,1548.69,85.21
