"","X","Hiver","Printemps","Eté","Automne","code_insee","Ville"
"831","Heures d'ensoleillement","25","50","56","18","94042","joinville-le-pont"
"832","Hauteur de pluie","222","194","246","240","94042","joinville-le-pont"
"833","Heures d'ensoleillement","25","50","56","18","94043","le-kremlin-bicetre"
"834","Hauteur de pluie","222","194","246","240","94043","le-kremlin-bicetre"
"835","Heures d'ensoleillement","23","50","59","18","94044","limeil-brevannes"
"836","Hauteur de pluie","205","177","248","183","94044","limeil-brevannes"
"837","Heures d'ensoleillement","25","50","56","18","94046","maisons-alfort"
"838","Hauteur de pluie","222","194","246","240","94046","maisons-alfort"
"839","Heures d'ensoleillement","25","50","56","18","94052","nogent-sur-marne"
"840","Hauteur de pluie","222","194","246","240","94052","nogent-sur-marne"
"841","Heures d'ensoleillement","23","50","59","18","94054","orly"
"842","Hauteur de pluie","205","177","248","183","94054","orly"
"843","Heures d'ensoleillement","25","50","56","18","94058","le-perreux-sur-marne"
"844","Hauteur de pluie","222","194","246","240","94058","le-perreux-sur-marne"
"845","Heures d'ensoleillement","23","50","59","18","94059","le-plessis-trevise"
"846","Hauteur de pluie","205","177","248","183","94059","le-plessis-trevise"
"847","Heures d'ensoleillement","25","50","56","18","94067","saint-mande"
"848","Hauteur de pluie","222","194","246","240","94067","saint-mande"
"849","Heures d'ensoleillement","25","50","56","18","94068","saint-maur-des-fosses"
"850","Hauteur de pluie","222","194","246","240","94068","saint-maur-des-fosses"
"851","Heures d'ensoleillement","23","50","59","18","94071","sucy-en-brie"
"852","Hauteur de pluie","205","177","248","183","94071","sucy-en-brie"
"853","Heures d'ensoleillement","23","50","59","18","94073","thiais"
"854","Hauteur de pluie","205","177","248","183","94073","thiais"
"855","Heures d'ensoleillement","25","50","56","18","94076","villejuif"
"856","Hauteur de pluie","222","194","246","240","94076","villejuif"
"857","Heures d'ensoleillement","23","50","59","18","94077","villeneuve-le-roi"
"858","Hauteur de pluie","205","177","248","183","94077","villeneuve-le-roi"
"859","Heures d'ensoleillement","23","50","59","18","94078","villeneuve-saint-georges"
"860","Hauteur de pluie","205","177","248","183","94078","villeneuve-saint-georges"
"861","Heures d'ensoleillement","25","50","56","18","94079","villiers-sur-marne"
"862","Hauteur de pluie","222","194","246","240","94079","villiers-sur-marne"
"863","Heures d'ensoleillement","25","50","56","18","94080","vincennes"
"864","Hauteur de pluie","222","194","246","240","94080","vincennes"
"865","Heures d'ensoleillement","25","50","56","18","94081","vitry-sur-seine"
"866","Hauteur de pluie","222","194","246","240","94081","vitry-sur-seine"
"867","Heures d'ensoleillement","","","","","95018","argenteuil"
"868","Hauteur de pluie","221","180","205","230","95018","argenteuil"
"869","Heures d'ensoleillement","25","50","56","18","95063","bezons"
"870","Hauteur de pluie","222","194","246","240","95063","bezons"
"871","Heures d'ensoleillement","","","","","95127","cergy"
"872","Hauteur de pluie","221","180","205","230","95127","cergy"
"873","Heures d'ensoleillement","","","","","95176","cormeilles-en-parisis"
"874","Hauteur de pluie","221","180","205","230","95176","cormeilles-en-parisis"
"875","Heures d'ensoleillement","","","","","95197","deuil-la-barre"
"876","Hauteur de pluie","221","180","205","230","95197","deuil-la-barre"
"877","Heures d'ensoleillement","","","","","95203","eaubonne"
"878","Hauteur de pluie","221","180","205","230","95203","eaubonne"
"879","Heures d'ensoleillement","","","","","95219","ermont"
"880","Hauteur de pluie","221","180","205","230","95219","ermont"
"881","Heures d'ensoleillement","","","","","95252","franconville"
"882","Hauteur de pluie","221","180","205","230","95252","franconville"
