"","Type de ménages","2010","%1","2015","%2","2021","%3","code_insee","Ville"
"1427","Autres ménages sans famille","368","3,7","428","3,9","268","2,2","78621","trappes"
"1428","Couples sans enfant","1 722","17,2","1 863","16,8","1 753","14,1","78621","trappes"
"1429","Couples avec enfant(s)","3 902","39,0","4 254","38,4","4 470","35,9","78621","trappes"
"1430","Familles monoparentales","1 534","15,3","1 697","15,3","1 922","15,4","78621","trappes"
"1431","Ménages d'une personne","2 798","33,2","3 730","39,0","4 524","43,3","78640","velizy-villacoublay"
"1432","Autres ménages sans famille","193","2,3","125","1,3","142","1,4","78640","velizy-villacoublay"
"1433","Couples sans enfant","2 291","27,1","2 339","24,4","2 210","21,1","78640","velizy-villacoublay"
"1434","Couples avec enfant(s)","2 421","28,7","2 506","26,2","2 605","24,9","78640","velizy-villacoublay"
"1435","Familles monoparentales","737","8,7","866","9,1","974","9,3","78640","velizy-villacoublay"
"1436","Ménages d'une personne","14 117","38,3","13 945","38,0","15 431","41,6","78646","versailles"
"1437","Autres ménages sans famille","999","2,7","943","2,6","565","1,5","78646","versailles"
"1438","Couples sans enfant","9 077","24,6","8 838","24,1","8 386","22,6","78646","versailles"
"1439","Couples avec enfant(s)","10 219","27,7","10 379","28,3","9 500","25,6","78646","versailles"
"1440","Familles monoparentales","2 439","6,6","2 579","7,0","3 221","8,7","78646","versailles"
"1441","Ménages d'une personne","13 668","46,8","14 466","48,0","15 905","50,8","79191","niort"
"1442","Autres ménages sans famille","630","2,2","611","2,0","418","1,3","79191","niort"
"1443","Couples sans enfant","7 261","24,9","7 011","23,3","7 202","23,0","79191","niort"
"1444","Couples avec enfant(s)","4 979","17,0","5 214","17,3","4 713","15,0","79191","niort"
"1445","Familles monoparentales","2 678","9,2","2 828","9,4","3 098","9,9","79191","niort"
"1446","Ménages d'une personne","4 242","38,8","4 419","40,7","5 249","46,3","80001","abbeville"
"1447","Autres ménages sans famille","294","2,7","290","2,7","151","1,3","80001","abbeville"
"1448","Couples sans enfant","2 584","23,7","2 589","23,8","2 637","23,2","80001","abbeville"
"1449","Couples avec enfant(s)","2 465","22,6","2 170","20,0","1 892","16,7","80001","abbeville"
"1450","Familles monoparentales","1 333","12,2","1 396","12,8","1 419","12,5","80001","abbeville"
"1451","Ménages d'une personne","27 459","43,8","30 013","46,6","34 852","51,3","80021","amiens"
"1452","Autres ménages sans famille","2 669","4,3","2 693","4,2","2 203","3,2","80021","amiens"
"1453","Couples sans enfant","12 879","20,5","12 253","19,0","11 928","17,6","80021","amiens"
"1454","Couples avec enfant(s)","12 514","19,9","11 809","18,3","11 028","16,2","80021","amiens"
"1455","Familles monoparentales","7 206","11,5","7 589","11,8","7 941","11,7","80021","amiens"
"1456","Ménages d'une personne","11 620","46,7","12 459","49,0","14 077","52,4","81004","albi"
"1457","Autres ménages sans famille","651","2,6","639","2,5","449","1,7","81004","albi"
"1458","Couples sans enfant","6 539","26,3","6 190","24,3","6 234","23,2","81004","albi"
"1459","Couples avec enfant(s)","3 851","15,5","3 818","15,0","3 636","13,5","81004","albi"
"1460","Familles monoparentales","2 196","8,8","2 332","9,2","2 445","9,1","81004","albi"
"1461","Ménages d'une personne","7 415","38,1","8 014","40,9","9 021","43,8","81065","castres"
"1462","Autres ménages sans famille","486","2,5","442","2,3","343","1,7","81065","castres"
"1463","Couples sans enfant","5 462","28,1","5 217","26,6","5 303","25,8","81065","castres"
"1464","Couples avec enfant(s)","4 111","21,1","3 961","20,2","3 726","18,1","81065","castres"
"1465","Familles monoparentales","1 981","10,2","1 980","10,1","2 187","10,6","81065","castres"
"1466","Ménages d'une personne","9 629","37,6","10 721","39,1","11 566","40,6","82121","montauban"
"1467","Autres ménages sans famille","668","2,6","674","2,5","412","1,4","82121","montauban"
"1468","Couples sans enfant","6 916","27,0","7 153","26,1","7 036","24,7","82121","montauban"
"1469","Couples avec enfant(s)","5 853","22,8","5 874","21,4","6 176","21,7","82121","montauban"
"1470","Familles monoparentales","2 565","10,0","3 023","11,0","3 266","11,5","82121","montauban"
"1471","Ménages d'une personne","5 554","34,6","6 256","35,1","6 881","37,8","83050","draguignan"
"1472","Autres ménages sans famille","395","2,5","395","2,2","199","1,1","83050","draguignan"
"1473","Couples sans enfant","4 390","27,3","4 726","26,5","4 839","26,6","83050","draguignan"
"1474","Couples avec enfant(s)","4 052","25,2","4 486","25,1","4 064","22,3","83050","draguignan"
"1475","Familles monoparentales","1 665","10,4","1 981","11,1","2 205","12,1","83050","draguignan"
"1476","Ménages d'une personne","8 565","36,0","8 611","35,4","11 447","40,8","83061","frejus"
"1477","Autres ménages sans famille","587","2,5","623","2,6","374","1,3","83061","frejus"
"1478","Couples sans enfant","7 370","31,0","7 509","30,9","7 898","28,1","83061","frejus"
"1479","Couples avec enfant(s)","5 084","21,4","5 350","22,0","5 598","19,9","83061","frejus"
"1480","Familles monoparentales","2 175","9,1","2 208","9,1","2 764","9,8","83061","frejus"
"1481","Ménages d'une personne","4 207","37,2","4 785","40,8","5 510","44,1","83062","la-garde"
"1482","Autres ménages sans famille","315","2,8","253","2,2","128","1,0","83062","la-garde"
"1483","Couples sans enfant","2 962","26,2","2 953","25,2","2 988","23,9","83062","la-garde"
"1484","Couples avec enfant(s)","2 624","23,2","2 502","21,3","2 637","21,1","83062","la-garde"
"1485","Familles monoparentales","1 214","10,7","1 226","10,5","1 244","9,9","83062","la-garde"
"1486","Ménages d'une personne","9 823","38,9","10 835","40,8","13 029","46,5","83069","hyeres"
"1487","Autres ménages sans famille","521","2,1","542","2,0","351","1,3","83069","hyeres"
"1488","Couples sans enfant","7 192","28,5","7 319","27,6","7 128","25,4","83069","hyeres"
"1489","Couples avec enfant(s)","5 297","21,0","5 260","19,8","4 643","16,6","83069","hyeres"
"1490","Familles monoparentales","2 441","9,7","2 603","9,8","2 893","10,3","83069","hyeres"
"1491","Ménages d'une personne","6 113","36,9","7 470","40,9","8 309","43,5","83118","saint-raphael"
"1492","Autres ménages sans famille","462","2,8","361","2,0","229","1,2","83118","saint-raphael"
"1493","Couples sans enfant","5 925","35,8","6 253","34,3","6 664","34,9","83118","saint-raphael"
"1494","Couples avec enfant(s)","2 805","17,0","2 850","15,6","2 556","13,4","83118","saint-raphael"
"1495","Familles monoparentales","1 246","7,5","1 317","7,2","1 348","7,1","83118","saint-raphael"
"1496","Ménages d'une personne","9 197","33,4","10 370","35,4","11 766","39,1","83126","la-seyne-sur-mer"
"1497","Autres ménages sans famille","663","2,4","744","2,5","339","1,1","83126","la-seyne-sur-mer"
"1498","Couples sans enfant","7 834","28,5","7 975","27,2","8 299","27,6","83126","la-seyne-sur-mer"
"1499","Couples avec enfant(s)","6 817","24,8","7 083","24,2","6 256","20,8","83126","la-seyne-sur-mer"
"1500","Familles monoparentales","3 003","10,9","3 123","10,7","3 411","11,3","83126","la-seyne-sur-mer"
"1501","Ménages d'une personne","5 718","34,8","5 888","36,4","7 881","42,2","83129","six-fours-les-plages"
"1502","Autres ménages sans famille","392","2,4","405","2,5","186","1,0","83129","six-fours-les-plages"
"1503","Couples sans enfant","5 434","33,1","5 149","31,8","5 491","29,4","83129","six-fours-les-plages"
"1504","Couples avec enfant(s)","3 678","22,4","3 358","20,8","3 455","18,5","83129","six-fours-les-plages"
"1505","Familles monoparentales","1 197","7,3","1 368","8,5","1 677","9,0","83129","six-fours-les-plages"
"1506","Ménages d'une personne","33 753","42,8","35 443","43,5","41 967","46,5","83137","toulon"
"1507","Autres ménages sans famille","2 251","2,9","2 144","2,6","1 496","1,7","83137","toulon"
"1508","Couples sans enfant","18 523","23,5","18 763","23,0","19 252","21,3","83137","toulon"
"1509","Couples avec enfant(s)","15 772","20,0","16 275","20,0","16 897","18,7","83137","toulon"
"1510","Familles monoparentales","8 588","10,9","8 815","10,8","10 687","11,8","83137","toulon"
"1511","Ménages d'une personne","3 413","35,0","3 954","35,9","4 841","41,1","83144","la-valette-du-var"
"1512","Autres ménages sans famille","233","2,4","258","2,3","170","1,4","83144","la-valette-du-var"
"1513","Couples sans enfant","2 914","29,9","3 232","29,4","3 118","26,5","83144","la-valette-du-var"
"1514","Couples avec enfant(s)","2 296","23,6","2 407","21,9","2 331","19,8","83144","la-valette-du-var"
"1515","Familles monoparentales","890","9,1","1 149","10,4","1 324","11,2","83144","la-valette-du-var"
"1516","Ménages d'une personne","18 098","43,2","20 013","45,7","20 972","48,1","84007","avignon"
"1517","Autres ménages sans famille","1 395","3,3","1 512","3,5","862","2,0","84007","avignon"
"1518","Couples sans enfant","8 773","20,9","8 587","19,6","8 070","18,5","84007","avignon"
"1519","Couples avec enfant(s)","8 726","20,8","8 790","20,1","8 586","19,7","84007","avignon"
"1520","Familles monoparentales","4 928","11,8","4 881","11,1","5 083","11,7","84007","avignon"
"1521","Ménages d'une personne","4 558","36,0","4 578","36,2","5 209","37,6","84031","carpentras"
"1522","Autres ménages sans famille","397","3,1","347","2,7","176","1,3","84031","carpentras"
"1523","Couples sans enfant","3 083","24,3","3 257","25,8","3 603","26,0","84031","carpentras"
"1524","Couples avec enfant(s)","3 301","26,1","3 060","24,2","3 276","23,6","84031","carpentras"
"1525","Familles monoparentales","1 327","10,5","1 397","11,1","1 595","11,5","84031","carpentras"
"1526","Ménages d'une personne","3 912","36,1","4 592","38,4","5 207","43,1","84035","cavaillon"
"1527","Autres ménages sans famille","284","2,6","224","1,9","113","0,9","84035","cavaillon"
"1528","Couples sans enfant","2 566","23,7","2 824","23,6","2 722","22,5","84035","cavaillon"
"1529","Couples avec enfant(s)","2 932","27,0","2 997","25,1","2 893","23,9","84035","cavaillon"
"1530","Familles monoparentales","1 152","10,6","1 317","11,0","1 158","9,6","84035","cavaillon"
"1531","Ménages d'une personne","4 375","35,6","4 496","35,4","5 318","40,5","84087","orange"
"1532","Autres ménages sans famille","296","2,4","300","2,4","186","1,4","84087","orange"
"1533","Couples sans enfant","3 166","25,8","3 276","25,8","3 248","24,8","84087","orange"
"1534","Couples avec enfant(s)","3 178","25,9","3 251","25,6","2 995","22,8","84087","orange"
"1535","Familles monoparentales","1 268","10,3","1 374","10,8","1 370","10,4","84087","orange"
"1536","Ménages d'une personne","2 621","32,1","3 109","35,4","3 725","38,7","84089","pertuis"
"1537","Autres ménages sans famille","112","1,4","193","2,2","101","1,1","84089","pertuis"
"1538","Couples sans enfant","2 378","29,1","2 323","26,5","2 490","25,9","84089","pertuis"
"1539","Couples avec enfant(s)","2 284","27,9","2 246","25,6","2 230","23,2","84089","pertuis"
"1540","Familles monoparentales","776","9,5","908","10,3","1 082","11,2","84089","pertuis"
"1541","Ménages d'une personne","2 942","34,2","3 170","34,3","4 005","36,9","85047","challans"
"1542","Autres ménages sans famille","98","1,1","142","1,5","91","0,8","85047","challans"
"1543","Couples sans enfant","3 031","35,2","3 119","33,7","3 771","34,7","85047","challans"
"1544","Couples avec enfant(s)","1 950","22,7","2 124","22,9","2 075","19,1","85047","challans"
"1545","Familles monoparentales","579","6,7","701","7,6","911","8,4","85047","challans"
"1546","Ménages d'une personne","2 049","27,3","2 486","30,3","3 309","33,9","85146","montaigu-vendee"
"1547","Autres ménages sans famille","133","1,8","126","1,5","86","0,9","85146","montaigu-vendee"
"1548","Couples sans enfant","2 246","29,9","2 404","29,3","2 873","29,4","85146","montaigu-vendee"
"1549","Couples avec enfant(s)","2 691","35,8","2 826","34,5","2 992","30,6","85146","montaigu-vendee"
"1550","Familles monoparentales","389","5,2","359","4,4","503","5,1","85146","montaigu-vendee"
"1551","Ménages d'une personne","11 601","45,2","12 783","47,5","14 027","49,6","85191","la-roche-sur-yon"
"1552","Autres ménages sans famille","644","2,5","551","2,0","492","1,7","85191","la-roche-sur-yon"
"1553","Couples sans enfant","6 556","25,5","6 369","23,7","6 739","23,8","85191","la-roche-sur-yon"
"1554","Couples avec enfant(s)","4 769","18,6","4 737","17,6","4 467","15,8","85191","la-roche-sur-yon"
"1555","Familles monoparentales","2 104","8,2","2 480","9,2","2 571","9,1","85191","la-roche-sur-yon"
"1556","Ménages d'une personne","8 041","38,6","9 154","41,7","11 172","43,0","85194","les-sables-d-olonne"
"1557","Autres ménages sans famille","407","2,0","316","1,4","249","1,0","85194","les-sables-d-olonne"
"1558","Couples sans enfant","7 657","36,7","7 614","34,7","9 250","35,6","85194","les-sables-d-olonne"
"1559","Couples avec enfant(s)","3 389","16,3","3 418","15,6","3 758","14,5","85194","les-sables-d-olonne"
"1560","Familles monoparentales","1 357","6,5","1 445","6,6","1 524","5,9","85194","les-sables-d-olonne"
"1561","Ménages d'une personne","6 571","42,0","6 833","43,5","7 310","46,7","86066","chatellerault"
"1562","Autres ménages sans famille","302","1,9","296","1,9","167","1,1","86066","chatellerault"
"1563","Couples sans enfant","4 437","28,4","4 231","26,9","4 000","25,5","86066","chatellerault"
"1564","Couples avec enfant(s)","2 811","18,0","2 629","16,7","2 437","15,6","86066","chatellerault"
"1565","Familles monoparentales","1 521","9,7","1 710","10,9","1 749","11,2","86066","chatellerault"
"1566","Ménages d'une personne","26 784","56,0","27 622","57,2","30 191","60,2","86194","poitiers"
"1567","Autres ménages sans famille","2 055","4,3","2 209","4,6","1 860","3,7","86194","poitiers"
"1568","Couples sans enfant","9 302","19,4","8 745","18,1","7 982","15,9","86194","poitiers"
"1569","Couples avec enfant(s)","5 913","12,4","5 738","11,9","5 821","11,6","86194","poitiers"
"1570","Familles monoparentales","3 782","7,9","3 957","8,2","4 328","8,6","86194","poitiers"
"1571","Ménages d'une personne","37 217","50,5","39 102","53,7","41 950","57,3","87085","limoges"
"1572","Autres ménages sans famille","2 248","3,0","1 883","2,6","1 505","2,1","87085","limoges"
"1573","Couples sans enfant","16 729","22,7","15 025","20,6","14 289","19,5","87085","limoges"
"1574","Couples avec enfant(s)","11 340","15,4","10 203","14,0","8 970","12,2","87085","limoges"
"1575","Familles monoparentales","6 191","8,4","6 660","9,1","6 539","8,9","87085","limoges"
"1576","Ménages d'une personne","7 391","46,5","7 598","48,5","8 094","50,1","88160","epinal"
"1577","Autres ménages sans famille","357","2,2","356","2,3","401","2,5","88160","epinal"
"1578","Couples sans enfant","3 588","22,6","3 343","21,3","3 379","20,9","88160","epinal"
"1579","Couples avec enfant(s)","2 882","18,1","2 655","16,9","2 516","15,6","88160","epinal"
